LAST,FIRST,START_BAL,TRANS_TYPE,TRANS_AMT,CUR_BAL
Freeman, Victor,$8799,Withdrawal,$427.093,$8371.91
Boyce, Ana,$8671,Withdrawal,$393.567,$8277.43
Boyce, Ana,$8277.43,Deposit,$344.969,$8622.4
Boyce, Ana,$8622.4,Deposit,$2217.48,$10839.9
Boyce, Monty,$2766,Deposit,$1015.5,$3781.5
Boyce, Monty,$3781.5,Deposit,$3984.14,$7765.64
Brewington, Monty,$6518,Withdrawal,$7.36787,$6510.63
Jones, Sean,$7423,Deposit,$1722.73,$9145.73
Jones, Sean,$9145.73,Deposit,$3957.04,$13102.8
Jones, Sean,$13102.8,Withdrawal,$199.356,$12903.4
Williams, Jacob,$4485,Withdrawal,$498.133,$3986.87
Matthews, Robert,$8206,Withdrawal,$73.8009,$8132.2
Matthews, Robert,$8132.2,Deposit,$2535.78,$10668
Matthews, Robert,$10668,Withdrawal,$495.807,$10172.2
Stevens, Brooke,$6298,Deposit,$3521.69,$9819.69
Stevens, Brooke,$9819.69,Deposit,$473.132,$10292.8
Freeman, Jesse,$631,Deposit,$275.521,$906.521
Kelly, Monty,$706,Withdrawal,$79.1756,$626.824
Kelly, Monty,$626.824,Deposit,$3005.84,$3632.67
Boyce, Monty,$3789,Deposit,$2529,$6318
Boyce, Monty,$6318,Deposit,$1741.72,$8059.72
Boyce, Monty,$8059.72,Deposit,$2315.03,$10374.7
Jones, Nichole,$8538,Deposit,$2133.64,$10671.6
Kelly, Megan,$4285,Deposit,$2539.42,$6824.42
Kelly, Megan,$6824.42,Withdrawal,$309.673,$6514.75
Kelly, Megan,$6514.75,Deposit,$2403.89,$8918.64
Harbin, Jacob,$4331,Deposit,$537.026,$4868.03
Harbin, Jacob,$4868.03,Deposit,$3223.57,$8091.59
Boyce, Steve,$9699,Deposit,$2198.35,$11897.4
Dobson, Frank,$5647,Deposit,$74.5041,$5721.5
Jones, Monty,$5463,Deposit,$596.544,$6059.54
Jones, Monty,$6059.54,Deposit,$2313.15,$8372.7
Thompson, Julia,$5220,Deposit,$911.053,$6131.05
Thompson, Julia,$6131.05,Withdrawal,$228.003,$5903.05
Thompson, Julia,$5903.05,Deposit,$2543.37,$8446.42
Boyce, Victor,$6924,Withdrawal,$482.575,$6441.42
Boyce, Victor,$6441.42,Deposit,$3167.28,$9608.7
Boyce, Victor,$9608.7,Withdrawal,$315.928,$9292.77
Davis, Tim,$2672,Deposit,$4786.67,$7458.67
Davis, Tim,$7458.67,Withdrawal,$133.864,$7324.81
Davis, Brooke,$9727,Deposit,$3553.98,$13281
Davis, Brooke,$13281,Deposit,$1574.45,$14855.4
Williams, Tim,$2274,Withdrawal,$169.479,$2104.52
Brewington, Sadie,$5249,Withdrawal,$280.814,$4968.19
Smith, Tate,$9104,Withdrawal,$215.411,$8888.59
Smith, Tate,$8888.59,Withdrawal,$338.358,$8550.23
Smith, Tate,$8550.23,Deposit,$4705.84,$13256.1
Brite, Frank,$1012,Deposit,$4815.07,$5827.07
Brite, Frank,$5827.07,Deposit,$686.523,$6513.6
Brite, Frank,$6513.6,Deposit,$333.785,$6847.38
